"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HIVHFollowup","HIVHFollowup","","","",0,*,"","","","null {[]} {[]}
","HIV.H Follow-up","This tab describes the data that are collected during the follow-up and contacting clients workflow (HIV.H)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVHFollowup.dateClientMovedFromCatchmentArea","HIVHFollowup.dateClientMovedFromCatchmentArea","","","",0,1,"","","","date {[]} {[]}
","Date client moved from catchment area","The date on which the client moved from the catchment area, if known","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE31
",,,,"HIVHFollowup.dateClientMovedFromCatchmentArea",0,1,"",""
"HIVHFollowup.newCatchmentArea","HIVHFollowup.newCatchmentArea","","","",0,1,"","","","string {[]} {[]}
","New catchment area","New catchment area where the client resides","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE32
",,,,"HIVHFollowup.newCatchmentArea",0,1,"",""
"HIVHFollowup.partnerOrContactOfIndexCase","HIVHFollowup.partnerOrContactOfIndexCase","","","",0,1,"","","","boolean {[]} {[]}
","Partner or contact of index case","The client was identified by an index case as a partner or contact","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE33
",,,,"HIVHFollowup.partnerOrContactOfIndexCase",0,1,"",""
"HIVHFollowup.hivStatusOfPartnerOrContact","HIVHFollowup.hivStatusOfPartnerOrContact","","","",0,1,"","","","Coding {[]} {[]}
","HIV status of partner or contact","HIV status of the partner or contact given by the index case","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.H.DE34","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE34
",,,,"HIVHFollowup.hivStatusOfPartnerOrContact",0,1,"",""
"HIVHFollowup.dateOfDeath","HIVHFollowup.dateOfDeath","","","",0,1,"","","","date {[]} {[]}
","Date of death","If deceased, the date that the client died","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE38
",,,,"HIVHFollowup.dateOfDeath",0,1,"",""
"HIVHFollowup.causeOfDeath","HIVHFollowup.causeOfDeath","","","",0,1,"","","","string {[]} {[]}
","Cause of death","Cause of death, if known","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE39
",,,,"HIVHFollowup.causeOfDeath",0,1,"",""
"HIVHFollowup.placeOfDeath","HIVHFollowup.placeOfDeath","","","",0,1,"","","","string {[]} {[]}
","Place of death","Where the client died, if known","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE40
",,,,"HIVHFollowup.placeOfDeath",0,1,"",""
"HIVHFollowup.hivTreatmentOutcome","HIVHFollowup.hivTreatmentOutcome","","","",0,1,"","","","Coding {[]} {[]}
","HIV treatment outcome","The outcome for the client which is used for reporting retention/attrition.","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.H.DE41","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE41
",,,,"HIVHFollowup.hivTreatmentOutcome",0,1,"",""
"HIVHFollowup.datePatientLostToFollowUp","HIVHFollowup.datePatientLostToFollowUp","","","",0,1,"","","","date {[]} {[]}
","Date patient lost to follow-up","Date patient was lost to follow-up (LTFU)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE46
",,,,"HIVHFollowup.datePatientLostToFollowUp",0,1,"",""
"HIVHFollowup.onArt","HIVHFollowup.onArt","","","",0,1,"","","","boolean {[]} {[]}
","On ART","Client is currently taking ART","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE47
",,,,"HIVHFollowup.onArt",0,1,"",""
"HIVHFollowup.dateHivTreatmentOutcomeChanged","HIVHFollowup.dateHivTreatmentOutcomeChanged","","","",0,1,"","","","date {[]} {[]}
","Date HIV treatment outcome changed","The date on which the client's outcome (lost to follow-up, transferred out, death (documented), or refused (stopped) treatment) changed","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE48
",,,,"HIVHFollowup.dateHivTreatmentOutcomeChanged",0,1,"",""
"HIVHFollowup.transferConfirmed","HIVHFollowup.transferConfirmed","","","",0,1,"","","","boolean {[]} {[]}
","Transfer confirmed","Select if transfer to another facility is confirmed","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE49
",,,,"HIVHFollowup.transferConfirmed",0,1,"",""
"HIVHFollowup.transferToFacility","HIVHFollowup.transferToFacility","","","",0,1,"","","","Coding {[]} {[]}
","Transfer to facility","Name of health facility client was transferred to","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.H.DE50","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE50
",,,,"HIVHFollowup.transferToFacility",0,1,"",""
"HIVHFollowup.dateOfTransferOut","HIVHFollowup.dateOfTransferOut","","","",0,1,"","","","date {[]} {[]}
","Date of transfer out","The date the client transferred out of the facility to be provided with care at another facility","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE51
",,,,"HIVHFollowup.dateOfTransferOut",0,1,"",""
"HIVHFollowup.adherenceAssessment","HIVHFollowup.adherenceAssessment","","","",0,1,"","","","boolean {[]} {[]}
","Adherence assessment","Whether client is adherent or not to ART regimen per national guidelines (immunological or virological monitoring)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE52
",,,,"HIVHFollowup.adherenceAssessment",0,1,"",""
"HIVHFollowup.reasonsForAdherenceProblem","HIVHFollowup.reasonsForAdherenceProblem","","","",0,*,"","","","Coding {[]} {[]}
","Reason(s) for adherence problem","Reason why client is not adherent","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.H.DE53","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE53
",,,,"HIVHFollowup.reasonsForAdherenceProblem",0,*,"",""
"HIVHFollowup.otherReasonsForAdherenceProblem","HIVHFollowup.otherReasonsForAdherenceProblem","","","",0,1,"","","","string {[]} {[]}
","Other (specify)","Client reported not being adherent because of other reason (specify)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE72
",,,,"HIVHFollowup.otherReasonsForAdherenceProblem",0,1,"",""
"HIVHFollowup.dateArtStopped","HIVHFollowup.dateArtStopped","","","",0,1,"","","","date {[]} {[]}
","Date ART stopped","Date on which client stopped ART","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE73
",,,,"HIVHFollowup.dateArtStopped",0,1,"",""
"HIVHFollowup.reasonArtStopped","HIVHFollowup.reasonArtStopped","","","",0,*,"","","","Coding {[]} {[]}
","Reason ART stopped","Reason why client intentionally stopped ART","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.H.DE74","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE74
",,,,"HIVHFollowup.reasonArtStopped",0,*,"",""
"HIVHFollowup.otherReasonForStoppingArtSpecify","HIVHFollowup.otherReasonForStoppingArtSpecify","","","",0,1,"","","","string {[]} {[]}
","Other reason for stopping ART (specify)","Client stopped ART for other reason (specify)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.H.DE81
",,,,"HIVHFollowup.otherReasonForStoppingArtSpecify",0,1,"",""
