"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HIVCPrEPvisit.serumCreatinineTestDate","HIVCPrEPvisit.serumCreatinineTestDate","","","",0,1,"","","","date {[]} {[]}
","Serum creatinine test date","Test serum creatinine to identify pre-existing renal disease (estimated creatinine clearance less than 60 ml/min)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE71
",,,,"HIVCPrEPvisit.serumCreatinineTestDate",0,1,"",""
"HIVCPrEPvisit.serumCreatinineTestResult","HIVCPrEPvisit.serumCreatinineTestResult","","","",0,1,"","","","integer {[]} {[]}
","Serum creatinine test result","Test serum creatinine to identify pre-existing renal disease (estimated creatinine clearance less than 60 ml/min).","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE72
",,,,"HIVCPrEPvisit.serumCreatinineTestResult",0,1,"",""
"HIVCPrEPvisit.dateMedicationsDispensed","HIVCPrEPvisit.dateMedicationsDispensed","","","",0,1,"","","","date {[]} {[]}
","Date medications dispensed","Date the client was dispensed medications","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE73
",,,,"HIVCPrEPvisit.dateMedicationsDispensed",0,1,"",""
"HIVCPrEPvisit.dateMedicationsPrescribed","HIVCPrEPvisit.dateMedicationsPrescribed","","","",0,1,"","","","date {[]} {[]}
","Date medications prescribed","Date the client was prescribed medications","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE74
",,,,"HIVCPrEPvisit.dateMedicationsPrescribed",0,1,"",""
"HIVCPrEPvisit.medicationsPrescribed","HIVCPrEPvisit.medicationsPrescribed","","","",0,1,"","","","Coding {[]} {[]}
","Medications prescribed","Medications the client was prescribed","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE75","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE75
",,,,"HIVCPrEPvisit.medicationsPrescribed",0,1,"",""
"HIVCPrEPvisit.otherMedicationsPrescribed","HIVCPrEPvisit.otherMedicationsPrescribed","","","",0,1,"","","","string {[]} {[]}
","Other (specify)","Client was prescribed other medications (specify)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE79
",,,,"HIVCPrEPvisit.otherMedicationsPrescribed",0,1,"",""
"HIVCPrEPvisit.prepProductPrescribed","HIVCPrEPvisit.prepProductPrescribed","","","",0,1,"","","","Coding {[]} {[]}
","PrEP product prescribed","PrEP product that the client was prescribed","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE80","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE80
",,,,"HIVCPrEPvisit.prepProductPrescribed",0,1,"",""
"HIVCPrEPvisit.otherPrepProductPrescribed","HIVCPrEPvisit.otherPrepProductPrescribed","","","",0,1,"","","","string {[]} {[]}
","Other (specify)","Client was prescribed other PrEP product (specify)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE85
",,,,"HIVCPrEPvisit.otherPrepProductPrescribed",0,1,"",""
"HIVCPrEPvisit.datePrepPrescribed","HIVCPrEPvisit.datePrepPrescribed","","","",0,1,"","","","date {[]} {[]}
","Date PrEP prescribed","Date client was prescribed PrEP, including initial prescription and repeats","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE86
",,,,"HIVCPrEPvisit.datePrepPrescribed",0,1,"",""
"HIVCPrEPvisit.datePrepDispensed","HIVCPrEPvisit.datePrepDispensed","","","",0,1,"","","","date {[]} {[]}
","Date PrEP dispensed","Date client was dispensed PrEP","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE87
",,,,"HIVCPrEPvisit.datePrepDispensed",0,1,"",""
"HIVCPrEPvisit.volumeOfPrepProductPrescribedDispensed","HIVCPrEPvisit.volumeOfPrepProductPrescribedDispensed","","","",0,1,"","","","integer {[]} {[]}
","Volume of PrEP product prescribed/dispensed","Volume of PrEP product the client was prescribed or dispensed (for example, number of pills, number of devices)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE88
",,,,"HIVCPrEPvisit.volumeOfPrepProductPrescribedDispensed",0,1,"",""
"HIVCPrEPvisit.datePepPrescribed","HIVCPrEPvisit.datePepPrescribed","","","",0,1,"","","","date {[]} {[]}
","Date PEP prescribed","Date the client was prescribed PEP","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE89
",,,,"HIVCPrEPvisit.datePepPrescribed",0,1,"",""
"HIVCPrEPvisit.datePepCourseCompletion","HIVCPrEPvisit.datePepCourseCompletion","","","",0,1,"","","","date {[]} {[]}
","Date PEP course completion","Date client completes PEP course","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE90
",,,,"HIVCPrEPvisit.datePepCourseCompletion",0,1,"",""
"HIVCPrEPvisit.preferredPepBackboneRegimen","HIVCPrEPvisit.preferredPepBackboneRegimen","","","",0,1,"","","","Coding {[]} {[]}
","Preferred PEP backbone regimen","Preferred backbone regimen for PEP","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE91","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE91
",,,,"HIVCPrEPvisit.preferredPepBackboneRegimen",0,1,"",""
"HIVCPrEPvisit.alternativePepBackboneRegimen","HIVCPrEPvisit.alternativePepBackboneRegimen","","","",0,*,"","","","Coding {[]} {[]}
","Alternative PEP backbone regimen","Alternative backbone regimen for PEP","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE95","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE95
",,,,"HIVCPrEPvisit.alternativePepBackboneRegimen",0,*,"",""
"HIVCPrEPvisit.preferredThirdPepDrug","HIVCPrEPvisit.preferredThirdPepDrug","","","",0,*,"","","","Coding {[]} {[]}
","Preferred third PEP drug","Preferred third drug for PEP","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE99","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE99
",,,,"HIVCPrEPvisit.preferredThirdPepDrug",0,*,"",""
"HIVCPrEPvisit.alternativeThirdPepDrug","HIVCPrEPvisit.alternativeThirdPepDrug","","","",0,*,"","","","Coding {[]} {[]}
","Alternative third PEP drug","Alternative third drug for PEP","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE101","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE101
",,,,"HIVCPrEPvisit.alternativeThirdPepDrug",0,*,"",""
"HIVCPrEPvisit.estimatedCreatinineClearance","HIVCPrEPvisit.estimatedCreatinineClearance","","","",0,1,"","","","integer {[]} {[]}
","Estimated creatinine clearance","Estimated creatinine clearance of the client returned from lab in mL/min","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE106
",,,,"HIVCPrEPvisit.estimatedCreatinineClearance",0,1,"",""
"HIVCPrEPvisit.sexFactorForEstimatingCreatinineClearance","HIVCPrEPvisit.sexFactorForEstimatingCreatinineClearance","","","",0,1,"","","","Coding {[]} {[]}
","Sex factor for estimating creatinine clearance","Value used for gender for calculating creatinine clearance if required. For transgender populations, the sex at birth is used in the Cockcroft-Gault equation if the person is not using hormone therapy; among transgender populations using hormone therapy for more than three months, the current gender can be used.","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE107","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE107
",,,,"HIVCPrEPvisit.sexFactorForEstimatingCreatinineClearance",0,1,"",""
"HIVCPrEPvisit.estimatedCreatinineClearanceCockcroftGaultEquation","HIVCPrEPvisit.estimatedCreatinineClearanceCockcroftGaultEquation","","","",0,1,"","","","integer {[]} {[]}
","Estimated creatinine clearance (Cockcroft–Gault equation)","If the laboratory does not have the capacity to estimate creatinine clearance, the provider can use the Cockcroft–Gault equation to calculate estimated creatinine clearance based on measured serum creatinine, the client’s sex at birth, age and estimated lean body weight.","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE110
",,,,"HIVCPrEPvisit.estimatedCreatinineClearanceCockcroftGaultEquation",0,1,"",""
"HIVCPrEPvisit.dateOfSampleCollection","HIVCPrEPvisit.dateOfSampleCollection","","","",0,1,"","","","dateTime {[]} {[]}
","Date of sample collection","Date when the specimen was collected","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE111
",,,,"HIVCPrEPvisit.dateOfSampleCollection",0,1,"",""
"HIVCPrEPvisit.contraindicationsToPrepUsage","HIVCPrEPvisit.contraindicationsToPrepUsage","","","",0,*,"","","","Coding {[]} {[]}
","Contraindications to PrEP usage","Listing of contraindications to pre-exposure prophylaxis (PrEP)","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE112","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE112
",,,,"HIVCPrEPvisit.contraindicationsToPrepUsage",0,*,"",""
"HIVCPrEPvisit.otherAllergyOrContraindicationToAMedicineInThePrepRegimenSpecify","HIVCPrEPvisit.otherAllergyOrContraindicationToAMedicineInThePrepRegimenSpecify","","","",0,1,"","","","string {[]} {[]}
","Other allergy or contraindication to a medicine in the PrEP regimen (specify)","Client has another allergy or contraindication to a medicine in the pre-exposure prophylaxis (PrEP) regimen (specify)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE119
",,,,"HIVCPrEPvisit.otherAllergyOrContraindicationToAMedicineInThePrepRegimenSpecify",0,1,"",""
"HIVCPrEPvisit.prescribedPrepAtInitialVisit","HIVCPrEPvisit.prescribedPrepAtInitialVisit","","","",0,1,"","","","boolean {[]} {[]}
","Prescribed PrEP at initial visit","Client was prescribed pre-exposure prophylaxis (PrEP) on a first visit","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE120
",,,,"HIVCPrEPvisit.prescribedPrepAtInitialVisit",0,1,"",""
"HIVCPrEPvisit.numberOfDaysPrescribed","HIVCPrEPvisit.numberOfDaysPrescribed","","","",0,1,"","","","integer {[]} {[]}
","Number of days prescribed","Days of medication client has been prescribed","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE121
",,,,"HIVCPrEPvisit.numberOfDaysPrescribed",0,1,"",""
"HIVCPrEPvisit.prepRegimenPrescribed","HIVCPrEPvisit.prepRegimenPrescribed","","","",0,*,"","","","Coding {[]} {[]}
","PrEP regimen prescribed","HIV pre-exposure prophylaxis (PrEP) regimen prescribed","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE122","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE122
",,,,"HIVCPrEPvisit.prepRegimenPrescribed",0,*,"",""
"HIVCPrEPvisit.adherenceCounsellingProvided","HIVCPrEPvisit.adherenceCounsellingProvided","","","",0,1,"","","","boolean {[]} {[]}
","Adherence counselling provided","Whether adherence counselling was provided","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE123
",,,,"HIVCPrEPvisit.adherenceCounsellingProvided",0,1,"",""
"HIVCPrEPvisit.dateTimeOfFollowUpAppointment","HIVCPrEPvisit.dateTimeOfFollowUpAppointment","","","",0,1,"","","","dateTime {[]} {[]}
","Date/time of follow-up appointment","Date the client is to return for monitoring, re-supply, or any other reason","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE124
",,,,"HIVCPrEPvisit.dateTimeOfFollowUpAppointment",0,1,"",""
"HIVCPrEPvisit.typeOfFollowUpAppointment","HIVCPrEPvisit.typeOfFollowUpAppointment","","","",0,1,"","","","Coding {[]} {[]}
","Type of follow-up appointment","Type of follow-up appointment for testing services","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE125","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE125
",,,,"HIVCPrEPvisit.typeOfFollowUpAppointment",0,1,"",""
"HIVCPrEPvisit.otherTypeOfFollowUpAppointment","HIVCPrEPvisit.otherTypeOfFollowUpAppointment","","","",0,1,"","","","string {[]} {[]}
","Other (specify)","Other reason for the follow-up appointment (specify)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE129
",,,,"HIVCPrEPvisit.otherTypeOfFollowUpAppointment",0,1,"",""
"HIVCPrEPvisit.linkedToEnrolmentInCareAndArtInitiation","HIVCPrEPvisit.linkedToEnrolmentInCareAndArtInitiation","","","",0,1,"","","","boolean {[]} {[]}
","Linked to enrolment in care and ART initiation","Linkage made from HIV testing to enrolment in care following an HIV diagnosis","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE130
",,,,"HIVCPrEPvisit.linkedToEnrolmentInCareAndArtInitiation",0,1,"",""
"HIVCPrEPvisit.preventionServicesOfferedAndReferrals","HIVCPrEPvisit.preventionServicesOfferedAndReferrals","","","",0,*,"","","","Coding {[]} {[]}
","Prevention services offered and referrals","Offer or refer to prevention services","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE131","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE131
",,,,"HIVCPrEPvisit.preventionServicesOfferedAndReferrals",0,*,"",""
"HIVCPrEPvisit.dateProvidedCondoms","HIVCPrEPvisit.dateProvidedCondoms","","","",0,1,"","","","date {[]} {[]}
","Date provided condoms","Date client was provided with condoms","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE136
",,,,"HIVCPrEPvisit.dateProvidedCondoms",0,1,"",""
"HIVCPrEPvisit.condomsDistributed","HIVCPrEPvisit.condomsDistributed","","","",0,1,"","","","integer {[]} {[]}
","Condoms distributed","Number of condoms given to the client, if any were distributed","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE137
",,,,"HIVCPrEPvisit.condomsDistributed",0,1,"",""
"HIVCPrEPvisit.condomType","HIVCPrEPvisit.condomType","","","",0,1,"","","","Coding {[]} {[]}
","Condom type","Type of condom provided to client","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE138","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE138
",,,,"HIVCPrEPvisit.condomType",0,1,"",""
"HIVCPrEPvisit.hivSelfTestKitsAccepted","HIVCPrEPvisit.hivSelfTestKitsAccepted","","","",0,1,"","","","boolean {[]} {[]}
","HIV self-test kits accepted","Whether any HIV self-test kits were given to the client","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE141
",,,,"HIVCPrEPvisit.hivSelfTestKitsAccepted",0,1,"",""
"HIVCPrEPvisit.numberOfHivSelfTestKitsDistributed","HIVCPrEPvisit.numberOfHivSelfTestKitsDistributed","","","",0,1,"","","","integer {[]} {[]}
","Number of HIV self-test kits distributed","Number of HIV self-test kits distributed to the client","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE142
",,,,"HIVCPrEPvisit.numberOfHivSelfTestKitsDistributed",0,1,"",""
"HIVCPrEPvisit.hivSelfTestDistributedForUseBy","HIVCPrEPvisit.hivSelfTestDistributedForUseBy","","","",0,1,"","","","Coding {[]} {[]}
","HIV self-test distributed for use by","Whom the client plans to give the HIV self-test kit (self, sexual partner, social contact, etc.)","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE143","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE143
",,,,"HIVCPrEPvisit.hivSelfTestDistributedForUseBy",0,1,"",""
"HIVCPrEPvisit.sexualAndReproductiveHealthIntegratedServices","HIVCPrEPvisit.sexualAndReproductiveHealthIntegratedServices","","","",0,*,"","","","Coding {[]} {[]}
","Sexual and reproductive health integrated services","Offer or refer to sexual and reproductive health services","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.C.DE149","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.C.DE149
",,,,"HIVCPrEPvisit.sexualAndReproductiveHealthIntegratedServices",0,*,"",""
