"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HIVEPMTCT","HIVEPMTCT","","","",0,*,"","","","null {[]} {[]}
","HIV.E-F PMTCT","This tab describes the data that are collected relevant to HIV care and treatment of pregnant and postpartum women and their newborns during the delivery and postpartum care and the infant diagnosis and final HIV status workflows (HIV.E and HIV.F)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVEPMTCT.otherPastPregnancyProblemsSpecify","HIVEPMTCT.otherPastPregnancyProblemsSpecify","","","",0,1,"","","","string {[]} {[]}
","Other past pregnancy problems (specify)","Woman experienced other past pregnancy problems not described above (specify)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE35
",,,,"HIVEPMTCT.otherPastPregnancyProblemsSpecify",0,1,"",""
"HIVEPMTCT.parity","HIVEPMTCT.parity","","","",1,1,"","","","integer {[]} {[]}
","Parity","Total number of live and stillbirths (calculated)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE36
",,,,"HIVEPMTCT.parity",1,1,"",""
"HIVEPMTCT.pregnancyInHivInfectedWoman","HIVEPMTCT.pregnancyInHivInfectedWoman","","","",0,1,"","","","boolean {[]} {[]}
","Pregnancy in HIV-infected woman","Any HIV diagnosis in a pregnant woman as determined by the national HIV testing algorithm, or a pregnancy in a woman previously diagnosed with HIV","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE37
",,,,"HIVEPMTCT.pregnancyInHivInfectedWoman",0,1,"",""
"HIVEPMTCT.dateNewPregnancyOfHivPositiveWomanIdentified","HIVEPMTCT.dateNewPregnancyOfHivPositiveWomanIdentified","","","",0,1,"","","","date {[]} {[]}
","Date new pregnancy of HIV-positive woman identified","Earliest date when a new pregnancy of an HIV-positive woman is recorded","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE38
",,,,"HIVEPMTCT.dateNewPregnancyOfHivPositiveWomanIdentified",0,1,"",""
"HIVEPMTCT.ancContactDuringPregnancy","HIVEPMTCT.ancContactDuringPregnancy","","","",0,1,"","","","boolean {[]} {[]}
","ANC contact during pregnancy","Whether the mother had at least one ANC contact (visit)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE39
",,,,"HIVEPMTCT.ancContactDuringPregnancy",0,1,"",""
"HIVEPMTCT.dateOfFirstAncVisit","HIVEPMTCT.dateOfFirstAncVisit","","","",0,1,"","","","date {[]} {[]}
","Date of first ANC visit","Date of the pregnant woman's first ANC visit","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE40
",,,,"HIVEPMTCT.dateOfFirstAncVisit",0,1,"",""
"HIVEPMTCT.timingOfArtInitiation","HIVEPMTCT.timingOfArtInitiation","","","",0,1,"","","","Coding {[]} {[]}
","Timing of ART initiation","When the pregnant woman or mother initiated ART, for women living with HIV.","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.E.DE41","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE41
",,,,"HIVEPMTCT.timingOfArtInitiation",0,1,"",""
"HIVEPMTCT.maternalUseOfRecommendedArtRegimen","HIVEPMTCT.maternalUseOfRecommendedArtRegimen","","","",0,1,"","","","boolean {[]} {[]}
","Maternal use of recommended ART regimen","Whether the mother is taking a recommended ART regimen","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE45
",,,,"HIVEPMTCT.maternalUseOfRecommendedArtRegimen",0,1,"",""
"HIVEPMTCT.deliveryDate","HIVEPMTCT.deliveryDate","","","",1,1,"","","","date {[]} {[]}
","Delivery date","Date on which the woman delivered","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE46
",,,,"HIVEPMTCT.deliveryDate",1,1,"",""
"HIVEPMTCT.pregnancyOutcome","HIVEPMTCT.pregnancyOutcome","","","",0,1,"","","","Coding {[]} {[]}
","Pregnancy outcome","Outcome of current pregnancy","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.E.DE47","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE47
",,,,"HIVEPMTCT.pregnancyOutcome",0,1,"",""
"HIVEPMTCT.deliveryMode","HIVEPMTCT.deliveryMode","","","",0,1,"","","","Coding {[]} {[]}
","Delivery mode","Mode of delivery for current pregnancy","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.E.DE52","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE52
",,,,"HIVEPMTCT.deliveryMode",0,1,"",""
"HIVEPMTCT.indicationsForCaesarianSectionCS","HIVEPMTCT.indicationsForCaesarianSectionCS","","","",0,1,"","","","string {[]} {[]}
","Indications for caesarian section (C/S)","Indications for caesarian section","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE56
",,,,"HIVEPMTCT.indicationsForCaesarianSectionCS",0,1,"",""
"HIVEPMTCT.obstetricComplications","HIVEPMTCT.obstetricComplications","","","",0,1,"","","","string {[]} {[]}
","Obstetric complications","Serious or life-threatening obstetric complications during pregnancy, delivery or postpartum experienced by mother or her newborn","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE57
",,,,"HIVEPMTCT.obstetricComplications",0,1,"",""
"HIVEPMTCT.liveBirth","HIVEPMTCT.liveBirth","","","",0,1,"","","","boolean {[]} {[]}
","Live birth","The woman had a live birth","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE58
",,,,"HIVEPMTCT.liveBirth",0,1,"",""
"HIVEPMTCT.liveBirthToAnHivPositiveWoman","HIVEPMTCT.liveBirthToAnHivPositiveWoman","","","",0,1,"","","","boolean {[]} {[]}
","Live birth to an HIV-positive woman","A woman living with HIV had a live birth","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE59
",,,,"HIVEPMTCT.liveBirthToAnHivPositiveWoman",0,1,"",""
"HIVEPMTCT.gestationalAgeAtBirth","HIVEPMTCT.gestationalAgeAtBirth","","","",0,1,"","","","integer {[]} {[]}
","Gestational age at birth","Best estimate of gestational age in completed weeks when infant was born (an indication of prematurity, preterm and extreme preterm)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE60
",,,,"HIVEPMTCT.gestationalAgeAtBirth",0,1,"",""
"HIVEPMTCT.smallForGestationalAgeSga","HIVEPMTCT.smallForGestationalAgeSga","","","",0,1,"","","","boolean {[]} {[]}
","Small for gestational age (SGA)","Whether the infant was small for gestational age (SGA) at birth (<10th percentile)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE61
",,,,"HIVEPMTCT.smallForGestationalAgeSga",0,1,"",""
"HIVEPMTCT.pretermBirthStatus","HIVEPMTCT.pretermBirthStatus","","","",0,1,"","","","Coding {[]} {[]}
","Preterm birth status","The woman gave birth when the gestational age is less than 37 weeks","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.E.DE62","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE62
",,,,"HIVEPMTCT.pretermBirthStatus",0,1,"",""
"HIVEPMTCT.maternalArtStartDate","HIVEPMTCT.maternalArtStartDate","","","",0,1,"","","","date {[]} {[]}
","Maternal ART start date","The date on which the infant was started or restarted on ART","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE66
",,,,"HIVEPMTCT.maternalArtStartDate",0,1,"",""
"HIVEPMTCT.placeOfDelivery","HIVEPMTCT.placeOfDelivery","","","",1,1,"","","","Coding {[]} {[]}
","Place of delivery","The type of place where the woman delivered","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.E.DE67","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE67
",,,,"HIVEPMTCT.placeOfDelivery",1,1,"",""
"HIVEPMTCT.otherPlaceOfDelivery","HIVEPMTCT.otherPlaceOfDelivery","","","",0,1,"","","","string {[]} {[]}
","Other (specify)","The woman delivered at another location that is not at home or at a health facility (specify)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE71
",,,,"HIVEPMTCT.otherPlaceOfDelivery",0,1,"",""
"HIVEPMTCT.deliveryFacility","HIVEPMTCT.deliveryFacility","","","",0,1,"","","","string {[]} {[]}
","Delivery facility","Facility where the infant or child was born","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE72
",,,,"HIVEPMTCT.deliveryFacility",0,1,"",""
"HIVEPMTCT.dateOfMiscarriageOrAbortion","HIVEPMTCT.dateOfMiscarriageOrAbortion","","","",0,1,"","","","date {[]} {[]}
","Date of miscarriage or abortion","Date of the miscarriage/abortion","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE73
",,,,"HIVEPMTCT.dateOfMiscarriageOrAbortion",0,1,"",""
"HIVEPMTCT.dateOfDeathOfMother","HIVEPMTCT.dateOfDeathOfMother","","","",0,1,"","","","date {[]} {[]}
","Date of death of mother","Date that the woman died","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE74
",,,,"HIVEPMTCT.dateOfDeathOfMother",0,1,"",""
"HIVEPMTCT.causeOfDeathOfMother","HIVEPMTCT.causeOfDeathOfMother","","","",0,1,"","","","Coding {[]} {[]}
","Cause of death of mother","The woman's cause of death","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.E.DE75","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE75
",,,,"HIVEPMTCT.causeOfDeathOfMother",0,1,"",""
"HIVEPMTCT.infantFirstName","HIVEPMTCT.infantFirstName","","","",1,1,"","","","string {[]} {[]}
","Infant's first name","Infant's first or given name","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE76
",,,,"HIVEPMTCT.infantFirstName",1,1,"",""
"HIVEPMTCT.infantSurname","HIVEPMTCT.infantSurname","","","",1,1,"","","","string {[]} {[]}
","Infant's surname","Infant's family name or last name","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE77
",,,,"HIVEPMTCT.infantSurname",1,1,"",""
"HIVEPMTCT.infantUniqueId","HIVEPMTCT.infantUniqueId","","","",1,1,"","","","Identifier {[]} {[]}
","Infant's unique ID","Unique identifier generated for new clients or a universal ID, if used in the country","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE78
",,,,"HIVEPMTCT.infantUniqueId",1,1,"",""
"HIVEPMTCT.motherFirstName","HIVEPMTCT.motherFirstName","","","",0,1,"","","","string {[]} {[]}
","Mother's first name","Biological mother's first or given name","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE79
",,,,"HIVEPMTCT.motherFirstName",0,1,"",""
"HIVEPMTCT.motherSurname","HIVEPMTCT.motherSurname","","","",0,1,"","","","string {[]} {[]}
","Mother's surname","Biological mother's family name or last name","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE80
",,,,"HIVEPMTCT.motherSurname",0,1,"",""
"HIVEPMTCT.motherUniqueId","HIVEPMTCT.motherUniqueId","","","",0,1,"","","","Identifier {[]} {[]}
","Mother's unique ID","Unique identifier generated for new clients or a universal ID, if used in the country","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE81
",,,,"HIVEPMTCT.motherUniqueId",0,1,"",""
"HIVEPMTCT.caregiverFirstName","HIVEPMTCT.caregiverFirstName","","","",0,1,"","","","string {[]} {[]}
","Caregiver's first name","Caregiver's first or given name","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE82
",,,,"HIVEPMTCT.caregiverFirstName",0,1,"",""
"HIVEPMTCT.caregiverSurname","HIVEPMTCT.caregiverSurname","","","",0,1,"","","","string {[]} {[]}
","Caregiver's surname","Caregiver's family name or last name","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE83
",,,,"HIVEPMTCT.caregiverSurname",0,1,"",""
"HIVEPMTCT.caregiverUniqueIdentifier","HIVEPMTCT.caregiverUniqueIdentifier","","","",0,1,"","","","Identifier {[]} {[]}
","Caregiver's unique identifier","Unique identifier generated for new clients or a universal ID, if used in the country","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE84
",,,,"HIVEPMTCT.caregiverUniqueIdentifier",0,1,"",""
"HIVEPMTCT.ancContactDate","HIVEPMTCT.ancContactDate","","","",1,1,"","","","dateTime {[]} {[]}
","ANC contact date","The date and time of the client's ANC contact (in the ANC DAK this is called 'Contact date')","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE85
",,,,"HIVEPMTCT.ancContactDate",1,1,"",""
"HIVEPMTCT.referral","HIVEPMTCT.referral","","","",1,1,"","","","boolean {[]} {[]}
","Referral","If infant was referred for care","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE86
",,,,"HIVEPMTCT.referral",1,1,"",""
"HIVEPMTCT.infantDateOfBirth","HIVEPMTCT.infantDateOfBirth","","","",0,1,"","","","date {[]} {[]}
","Infant date of birth","The infant's date of birth (DOB) if known","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE87
",,,,"HIVEPMTCT.infantDateOfBirth",0,1,"",""
"HIVEPMTCT.dateOfBirthOfInfantUnknown","HIVEPMTCT.dateOfBirthOfInfantUnknown","","","",0,1,"","","","boolean {[]} {[]}
","Date of birth of infant unknown","Is the client's DOB unknown?","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE88
",,,,"HIVEPMTCT.dateOfBirthOfInfantUnknown",0,1,"",""
"HIVEPMTCT.estimatedAgeOfInfant","HIVEPMTCT.estimatedAgeOfInfant","","","",0,1,"","","","integer {[]} {[]}
","Estimated age of infant","If DOB is unknown, enter the client's estimated age. Display client's age in number of years","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE89
",,,,"HIVEPMTCT.estimatedAgeOfInfant",0,1,"",""
"HIVEPMTCT.ageOfInfant","HIVEPMTCT.ageOfInfant","","","",0,1,"","","","integer {[]} {[]}
","Age of infant","Infant age calculated using date of birth","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE90
",,,,"HIVEPMTCT.ageOfInfant",0,1,"",""
"HIVEPMTCT.genderOfInfant","HIVEPMTCT.genderOfInfant","","","",1,1,"","","","Coding {[]} {[]}
","Gender of infant","Gender of the infant","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.E.DE91","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE91
",,,,"HIVEPMTCT.genderOfInfant",1,1,"",""
"HIVEPMTCT.infantHeight","HIVEPMTCT.infantHeight","","","",0,1,"","","","integer {[]} {[]}
","Infant height","The infant's height in centimetres","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE95
",,,,"HIVEPMTCT.infantHeight",0,1,"",""
"HIVEPMTCT.infantWeight","HIVEPMTCT.infantWeight","","","",0,1,"","","","integer {[]} {[]}
","Infant weight","The infant's current weight in kilograms","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE96
",,,,"HIVEPMTCT.infantWeight",0,1,"",""
"HIVEPMTCT.birthWeight","HIVEPMTCT.birthWeight","","","",0,1,"","","","integer {[]} {[]}
","Birth weight","Birth weight in kg of the baby","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE97
",,,,"HIVEPMTCT.birthWeight",0,1,"",""
"HIVEPMTCT.lowBirthWeight","HIVEPMTCT.lowBirthWeight","","","",0,1,"","","","boolean {[]} {[]}
","Low birth weight","Note if infant </¬≥2500 g at birth","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE98
",,,,"HIVEPMTCT.lowBirthWeight",0,1,"",""
"HIVEPMTCT.lengthOfInfant","HIVEPMTCT.lengthOfInfant","","","",0,1,"","","","integer {[]} {[]}
","Length of infant","Length of infant at birth in cm","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE99
",,,,"HIVEPMTCT.lengthOfInfant",0,1,"",""
"HIVEPMTCT.headCircumference","HIVEPMTCT.headCircumference","","","",0,1,"","","","integer {[]} {[]}
","Head circumference","Head circumference of infant at birth in cm","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE100
",,,,"HIVEPMTCT.headCircumference",0,1,"",""
"HIVEPMTCT.motherHivTestConducted","HIVEPMTCT.motherHivTestConducted","","","",0,1,"","","","boolean {[]} {[]}
","Mother HIV test conducted","Whether an HIV test of the mother was conducted","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE101
",,,,"HIVEPMTCT.motherHivTestConducted",0,1,"",""
"HIVEPMTCT.motherHivTestOrdered","HIVEPMTCT.motherHivTestOrdered","","","",0,1,"","","","boolean {[]} {[]}
","Mother HIV test ordered","Whether an HIV test of the mother was ordered","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE102
",,,,"HIVEPMTCT.motherHivTestOrdered",0,1,"",""
"HIVEPMTCT.motherHivTestDate","HIVEPMTCT.motherHivTestDate","","","",0,1,"","","","dateTime {[]} {[]}
","Mother HIV test date","Date when a mother's HIV test was conducted","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE103
",,,,"HIVEPMTCT.motherHivTestDate",0,1,"",""
"HIVEPMTCT.maternalHivTestResult","HIVEPMTCT.maternalHivTestResult","","","",0,1,"","","","Coding {[]} {[]}
","Maternal HIV test result","Test result for mother after applying the testing strategy","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.E.DE104","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE104
",,,,"HIVEPMTCT.maternalHivTestResult",0,1,"",""
"HIVEPMTCT.infantOrChildExposureToHiv","HIVEPMTCT.infantOrChildExposureToHiv","","","",1,1,"","","","Coding {[]} {[]}
","Infant or child exposure to HIV","Whether the infant or child was determined to have had HIV exposure through mother","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.E.DE108","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE108
",,,,"HIVEPMTCT.infantOrChildExposureToHiv",1,1,"",""
"HIVEPMTCT.hivExposedInfantOrChild","HIVEPMTCT.hivExposedInfantOrChild","","","",0,1,"","","","boolean {[]} {[]}
","HIV-exposed infant or child","Whether the infant or child was determined to have had HIV exposure","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE112
",,,,"HIVEPMTCT.hivExposedInfantOrChild",0,1,"",""
"HIVEPMTCT.keyPopulationMember","HIVEPMTCT.keyPopulationMember","","","",0,1,"","","","boolean {[]} {[]}
","Key population member","Mother is a member of a key population which has an increased risk of HIV","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE113
",,,,"HIVEPMTCT.keyPopulationMember",0,1,"",""
"HIVEPMTCT.keyPopulationMemberType","HIVEPMTCT.keyPopulationMemberType","","","",0,*,"","","","Coding {[]} {[]}
","Key population member type","The type of key population that the infant's mother is included in","","","","","","","","","",,"required","","http://smart.who.int/hiv/ValueSet/HIV.E.DE114","http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE114
",,,,"HIVEPMTCT.keyPopulationMemberType",0,*,"",""
"HIVEPMTCT.postpartumFamilyPlanningCounsellingConducted","HIVEPMTCT.postpartumFamilyPlanningCounsellingConducted","","","",0,1,"","","","boolean {[]} {[]}
","Postpartum family planning counselling conducted","Provide family planning and contraception counselling","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE119
",,,,"HIVEPMTCT.postpartumFamilyPlanningCounsellingConducted",0,1,"",""
"HIVEPMTCT.ageOfInfantOnHivTestDate","HIVEPMTCT.ageOfInfantOnHivTestDate","","","",0,1,"","","","integer {[]} {[]}
","Age of infant on HIV test date","Infant's age when an HIV test is performed in months and years (calculated from date of birth)","","","","","","","","","",,,,,"http://smart.who.int/hiv/CodeSystem/HIVConcepts#HIV.E.DE120
",,,,"HIVEPMTCT.ageOfInfantOnHivTestDate",0,1,"",""
